index	task_name	video_name	question_id	question	answer_number	candidates	answer
1_mlvu_1	plotQA	movie101_66.mp4	0	What color is the main male character in the video?	0	['Yellow', 'Red', 'Green', 'Blue']	Yellow
2_mlvu_2	plotQA	xiaoliyu_6.mp4	0	How did the cartoon jellyfish leave the mire?	1	['Carried by the cartoon shrimp', 'Carried by the cartoon turtle', 'Carried by the cartoon catfish', 'Carried by the cartoon seahorse']	Carried by the cartoon turtle
3_mlvu_3	plotQA	movie101_63.mp4	0	At the beginning of the video, what kind of vehicle is the man riding?	3	['Camel cart', 'Donkey cart', 'Horse carriage', 'Ox cart']	Ox cart
4_mlvu_4	plotQA	movie101_58.mp4	0	At the end of the video, what happens to the van?	0	['Rolls down the cliff and catches fire', 'Breaks down', 'Collides with another car', 'Gets driven away']	Rolls down the cliff and catches fire
5_mlvu_5	plotQA	movie101_53.mp4	0	At the beginning of the video, why does the woman in red change from long hair to short hair?	2	['The woman takes off her own wig', 'The woman cuts her own hair', "The man in the blue jacket takes off the woman's wig", "The man in the blue jacket cuts the woman's hair short"]	The man in the blue jacket takes off the woman's wig
6_mlvu_6	plotQA	movie101_37.mp4	0	How many people are at the staircase at the beginning of the video?	1	['One', 'Two', 'Three', 'Four']	Two
7_mlvu_7	plotQA	en_tv_11.mp4	0	Why are the woman in blue clothing and the man with a scar on his face surrounded by armed personnel?	2	['Because they had a fight', 'Because they killed someone', 'Because they triggered the alarm device', 'Because they robbed']	Because they triggered the alarm device
8_mlvu_8	plotQA	movie101_112.mp4	0	What happened after the person with the yellow stripe arrived at the camp?	3	['He went to eat', 'He went hunting', 'He went to war', 'He started a fight with the person holding the pipe']	He started a fight with the person holding the pipe
9_mlvu_9	plotQA	tomjerry_7.mp4	0	Why does the cartoon mouse hide in the water?	1	['To learn swimming', 'To avoid the bee', 'To hide from the cartoon dog', 'For fun']	To avoid the bee
10_mlvu_10	plotQA	xiaoliyu_9.mp4	0	What expression did the school of fish in the cage show when they saw the cartoon snake?	0	['Surprised', 'Happy', 'Sad', 'Angry']	Surprised
