index	task_name	video_name	question_id	question	answer_number	candidates	answer
Cm73ma6Ibcs55	cartoon_key information retrieval	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs55	What year appears in the opening caption of the video?	3	['1636', '1366', '1363', '1633']	1633
Cm73ma6Ibcs56	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs56	How is the weather like in the opening?	1	['Cloudy', 'Snowy', 'Sunny', 'Rainy']	Snowy
Cm73ma6Ibcs61	cartoon_summarization	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs61	After the man with the gun threatens the cook, what does the protagonist do?	0	['The protagonist pushes the table aside and stands up, confronting the man. After a series of quarrels, she kills the man and leaves the restaurant. The chef follows her', 'The protagonist pushes the table aside and stands up, confronting the man. After a series of quarrels, she injuries  the man and leaves the restaurant. The chef follows her', 'The protagonist pushes the table aside and stands up, taking out her gun and pointing at the man. After a series of quarrels, she kills the man and leaves the restaurant. The chef follows her', 'The protagonist pushes the table aside and stands up, taking out her gun and pointing at the man. After a series of quarrels, she kills the man and leaves the restaurant']	The protagonist pushes the table aside and stands up, confronting the man. After a series of quarrels, she kills the man and leaves the restaurant. The chef follows her
Cm73ma6Ibcs62	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs62	What does the protagonist do when the man with the gun keeps approaching her?	1	['The protagonist cuts off the hand of the man with the gun with her sword', 'The protagonist cuts off two fingers of the man with the gun with her sword', 'The protagonist impales the man with the gun with her word', 'The protagonist breaks the windows with her sword and flees']	The protagonist cuts off two fingers of the man with the gun with her sword
Cm73ma6Ibcs63	cartoon_entity recognition	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs63	How many sticks does the protagonist put in the incense burner?	3	['3', '2', '5', '1']	1
Cm73ma6Ibcs65	cartoon_reasoning	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs65	Why are the mother and child, who line in front of the protagonist, unable to enter the city?	0	['They do not bribe the guard', 'They are foreigners', 'They bring illegal weapons', 'They do not have a pass']	They do not bribe the guard
Cm73ma6Ibcs67	cartoon_entity recognition	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs67	How many people are carrying the sedan chair for the woman?	2	['4', '8', '6', '2']	6
Cm73ma6Ibcs68	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs68	What happens when the woman wearing a red kimono kneels?	3	['A child rides on her back', 'A man kneels beside her', 'A man takes out his sword', 'A child hits her head with noodles']	A child hits her head with noodles
Cm73ma6Ibcs71	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs71	How many times does the protagonist knock on the green door?	3	['1', '5', '2', '4']	4
Cm73ma6Ibcs72	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs72	What does the protagonist see through the window after she is taken to the utility room?	2	['A group of monks sitting cross-legged in the snow', 'A group of citizens chatting together', 'A group of warriors practicing swords', 'A group of samurais eating']	A group of warriors practicing swords
Cm73ma6Ibcs73	cartoon_reasoning	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs73	Why does the protagonist tie iron to her limbs?	0	['Because she wants to strength her body', 'Because irons are decorations', 'Because she has superpower and iron surpress it', 'Because tying iron is a culture tradition']	Because she wants to strength her body
Cm73ma6Ibcs75	cartoon_entity recognition	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs75	What does the protagonist wipe her face with when she is knocked to the ground during a solo fight?	0	['With snow on the ground', 'With her sleeves', 'With her hands', 'With a handkerchief in her pocket']	With snow on the ground
Cm73ma6Ibcs78	cartoon_reasoning	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs78	Why does the protagonist aim her sword at the cook?	3	['Because he is a spy', 'Because he wants to steal the sword', 'Because he wants to challenge the protagonist', 'Because he finds out that the protagonist is a woman']	Because he finds out that the protagonist is a woman
Cm73ma6Ibcs79	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs79	What is the protagonist primary objection at the spring?	3	['Sleep', 'Drink some water', 'Wash clothes', 'Take a bath']	Take a bath
Cm73ma6Ibcs80	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs80	What else does the protagonist do in the shower besides taking a shower?	1	['Eat some food', 'Stitches her wound', 'Drink spring water', 'Relax']	Stitches her wound
Cm73ma6Ibcs82	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs82	When the protagonist moves the table at the restaurant, what happens to the things on the table?	0	['One of the chopsticks on the bowl falls to the table', 'One of the chopsticks on the bowl falls to the floor', 'The seasoning bottle falls', 'The bowl falls to the floor']	One of the chopsticks on the bowl falls to the table
Cm73ma6Ibcs83	cartoon_entity recognition	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs83	What part of the cook is different from other people?	3	['Leg', 'Foot', 'Eye', 'Hand']	Hand
Cm73ma6Ibcs84	cartoon_event understanding	Cm73ma6Ibcs.mp4	Cm73ma6Ibcs84	What does the protagonist cut off from the man who she fights in the snow in the end?	3	['Leg', 'Cloth', 'Eye', 'Hair']	Hair
q01CUy_gwdU113	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU113	What color is the scene at the begining?	3	['White', 'Blue', 'Brown', 'Grey']	Grey
q01CUy_gwdU115	cartoon_summarization	q01CUy_gwdU.mp4	q01CUy_gwdU115	What happens from 01:58-02:46?	3	['A woman runs, stumbles against a man, and knocks over all his stuff', 'A woman runs, stumbles against a man, and he cries', 'A man runs, stumbles against a woman, and she cries', 'A man runs, stumbles against a woman, and knocks over all her stuff']	A man runs, stumbles against a woman, and knocks over all her stuff
q01CUy_gwdU117	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU117	What does the woman in red do after she collides with the man?	2	['She picks up things on the ground on her own and throws them away', 'She picks up things on the ground with the man', 'She picks up things on the ground on her own', 'She picks up things on the ground with a passerby']	She picks up things on the ground on her own
q01CUy_gwdU120	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU120	What does the man do after the second collision?	0	['He looks for his book', 'He looks for his phone', 'He looks for the woman', 'He looks for the post']	He looks for his book
q01CUy_gwdU121	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU121	Why does the man follow the woman in red after they meet for the third time?	3	['He falls in love with the woman', 'He is a spy', 'The woman has his phone', 'The woman has his book']	The woman has his book
q01CUy_gwdU123	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU123	What best summarizes the first half of the events when the woman and the man meet for the third time?	2	['They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man stares at her. She goes to a beach', 'They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man reads a book. He then leaves', 'They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man stares at her. She then sits near a rive', 'They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man stares at her. He then leaves']	They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man stares at her. She then sits near a rive
q01CUy_gwdU125	cartoon_entity recognition	q01CUy_gwdU.mp4	q01CUy_gwdU125	What color is the first plane?	0	['Yellow', 'Red', 'White', 'Blue']	Yellow
q01CUy_gwdU126	cartoon_entity recognition	q01CUy_gwdU.mp4	q01CUy_gwdU126	What appears on the screen after the fictional character from the man's book appears in the air for the first time, traveling between buildings?	2	['The book', 'A butterfly', 'A rainbow', 'A plane']	A rainbow
q01CUy_gwdU127	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU127	What does the man do after he sees the woman for the third time?	2	['He runs a marathon', 'He sleeps in his bed', 'He draws the woman in the book', 'He looks for the woman']	He draws the woman in the book
q01CUy_gwdU128	cartoon_entity recognition	q01CUy_gwdU.mp4	q01CUy_gwdU128	What does the woman do before throwing the Coca-Cola can into the air?	0	['She dances with people', 'She throws her shoe away', 'She walks barefoot', 'She fights with a police']	She dances with people
q01CUy_gwdU130	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU130	What does the woman do after she sees a rolling stone on the ground	2	['She runs away', 'She goes to meet the man', 'She throws her shoe away', 'She dances with people']	She throws her shoe away
q01CUy_gwdU132	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU132	Where do the man and the woman sit at where the woman is eating a pear?	1	['A river', 'A fountain', 'A street corner', 'A park bench']	A fountain
q01CUy_gwdU133	cartoon_summarization	q01CUy_gwdU.mp4	q01CUy_gwdU133	What happens from 35:52-36:41?	1	['The woman goes to meet the man barefoot, but she is stopped by other people', 'The woman goes to meet the man, but she is stopped by other people', 'The woman goes to meet the man barefoot, but she is stopped by a car', 'The woman goes to meet the man, but she is stopped by some dancers']	The woman goes to meet the man, but she is stopped by other people
q01CUy_gwdU134	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU134	How is the weather before the season transitions to winter?	0	['Rainy', 'Windy', 'Snowy', 'Sunny']	Rainy
q01CUy_gwdU135	cartoon_temporal grounding	q01CUy_gwdU.mp4	q01CUy_gwdU135	What happens from 37:30-38:05?	0	['The man visits the places that he and the woman have been to before', 'The man visits the new places', 'The man visits the places that he and the woman have been to before, would like to go to, and new places', 'The man visits the places that he and the woman would like to go to']	The man visits the places that he and the woman have been to before
q01CUy_gwdU136	cartoon_event understanding	q01CUy_gwdU.mp4	q01CUy_gwdU136	When does the man meet the woman for the last time?	2	['Autumn', 'Winter', 'Spring', 'Summer']	Spring
