index	task_name	video_name	question_id	question	answer_number	candidates	answer
001-1	VideoMME	fFjv93ACGo8.mp4	001-1	When demonstrating the Germany modern Christmas tree is initially decorated with apples, candles and berries, which kind of the decoration has the largest number?	2	['A. Apples.', 'B. Candles.', 'C. Berries.', 'D. The three kinds are of the same number.']	C
001-2	VideoMME	fFjv93ACGo8.mp4	001-2	What is the genre of this video?	0	['A. It is a news report that introduces the history behind Christmas decorations.', 'B. It is a documentary on the evolution of Christmas holiday recipes.', 'C. It is a travel vlog exploring Christmas markets around the world.', 'D. It is a tutorial on DIY Christmas ornament crafting.']	A
001-3	VideoMME	fFjv93ACGo8.mp4	001-3	How many red socks are above the fireplace at the end of this video?	3	['A. 1.', 'B. 4.', 'C. 2.', 'D. 3.']	D
002-1	VideoMME	N1cdUjctpG8.mp4	002-1	Which of the following features/items is not discussed in the video in relation to the tomb?	2	['A. Inkstone.', 'B. Niche.', 'C. Jade.', 'D. Sacrificial table.']	C
002-2	VideoMME	N1cdUjctpG8.mp4	002-2	Which of the following reasons motivated the archaeologists to excavate the tomb?	3	["A. Because it's from Ming Dynasty and of specific archaeological significance.", 'B. Because a new railway line will be built nearby.', 'C. Because there were treasures inside the tomb.', 'D. Highway realignment.']	D
002-3	VideoMME	N1cdUjctpG8.mp4	002-3	How many porcelain jars were discovered in the niches located in the primary chamber of the tomb?	1	['A. 4.', 'B. 9.', 'C. 5.', 'D. 13.']	B
003-1	VideoMME	HIjX8OPuf-w.mp4	003-1	How many national flags appear in the video?	1	['A. 3.', 'B. 4.', 'C. 2.', 'D. 5.']	B
003-2	VideoMME	HIjX8OPuf-w.mp4	003-2	What is the video telling when the burger placed in the upper right corner at the end of the video first appears?	2	['A. Beef with spices came from Russia to Germany.', 'B. The steak began to be sandwiched between two pieces of bread.', 'C. Steak burgers spread throughout the United States.', 'D. The standardization of hamburgers.']	C
003-3	VideoMME	HIjX8OPuf-w.mp4	003-3	In which country is the food featured in the video recognized worldwide?	3	['A. Mongolia.', 'B. Russia.', 'C. Germany.', 'D. United States.']	D
004-1	VideoMME	HwnB8aCn8yE.mp4	004-1	According to the video, which of the following is considered the earliest stage of human evolution?	1	['A. Ramapithecus.', 'B. Dryopithecus.', 'C. Ardipithecus Ramidus.', 'D. Homo Sapiens.']	B
004-2	VideoMME	HwnB8aCn8yE.mp4	004-2	According to the video, in which state did human's ancestors first begin to walk on two legs?	1	['A. Dryopithecus.', 'B. Ramapithecus.', 'C. Ardipithecus Ramidus.', 'D. Homo Habilis.']	B
004-3	VideoMME	HwnB8aCn8yE.mp4	004-3	Given the information provided by the video, during which stage of human evolution did the regression of body hair occur rapidly?	3	['A. Dryopithecus.', 'B. Homo Sapiens.', 'C. Ardipithecus Ramidus.', 'D. Homo Sapiens Neanderthalensi.']	D
005-1	VideoMME	24i4ncHuf6A.mp4	005-1	According to the video, how many individuals were in the car when Archduke Franz Ferdinand was assassinated?	0	['A. Three.', 'B. Two.', 'C. One.', 'D. Four.']	A
005-2	VideoMME	24i4ncHuf6A.mp4	005-2	What's the trigger that set off the war mentioned in the video?	1	['A. Militarisim.', 'B. The assasination of Archduke Franze Fredinand.', "C. King Edward III of England's claim to the French throne.", "D. Germany's blitzkrieg against Poland."]	B
005-3	VideoMME	24i4ncHuf6A.mp4	005-3	Which of the following options is incorrect regarding the events in Sarajevo depicted in the video?	2	['A. It was organized by the Black Hand in Serbia.', 'B. Ferdinand was sitting on the left side of the car.', 'C. Ferdinand was wearing a white hat.', 'D. The killer was wearing black suit.']	C
006-1	VideoMME	40BlVzjxu-I.mp4	006-1	What is one of the symbols of the festival that is introduced by the video?	3	['A. Turkey.', 'B. Moose.', 'C. Moon cake.', 'D. Shamrock.']	D
006-2	VideoMME	40BlVzjxu-I.mp4	006-2	What happened when Irish imiggrants brought the tradition of St. Patrick's Day to America?	0	['A. They began to center around drinking and celebrating the festival.', 'B. St. Patrick moved to America.', "C. They celebrated St. Patrick's birth instead.", 'D. They attended the church and gather for feasts.']	A
006-3	VideoMME	40BlVzjxu-I.mp4	006-3	What is special about the celebration in New York according to the video?	0	['A. Hosting large parades.', 'B. Dressing in green and dyeing the river to green.', 'C. Drinking a lot.', 'D. Planting shamrocks.']	A
007-1	VideoMME	0ay2Qy3wBe8.mp4	007-1	How is the smoke generated by the man depicted in the video?	3	['A. By burning a piece of cloth.', 'B. By lighting a torch.', 'C. By smoking.', 'D. By lighting a bonefire.']	D
007-2	VideoMME	0ay2Qy3wBe8.mp4	007-2	What kind of communication is listed before Semaphore?	3	['A. Telephone.', 'B. Homing pigeon.', 'C. Telegraph.', 'D. Pony express.']	D
007-3	VideoMME	0ay2Qy3wBe8.mp4	007-3	What is the specific sentence in the smart phone that makes the man embarrassed?	0	['A. BTW...you got something in your teeth!', 'B. Dude! You gotta come toBigStuf Camps!', 'C. Smoke Sig 2.0.', 'D. Last but not least.']	A
008-1	VideoMME	_tvmjsKXTu8.mp4	008-1	In the video, what color pen did the author use when he wrote "guitar" for the second time?	3	['A. Brown.', 'B. Blue.', 'C. Black.', 'D. Pink.']	D
008-2	VideoMME	_tvmjsKXTu8.mp4	008-2	How many different guitar-shaped instruments are there in the video?	1	['A. 2.', 'B. 7.', 'C. 3.', 'D. 11.']	B
008-3	VideoMME	_tvmjsKXTu8.mp4	008-3	What does the second half of the video show?	0	['A. An advertisement for a music software.', 'B. A tutorial on how to practice guitar on electronic devices.', 'C. The history of guitar software on electronic devices.', 'D. An advertisement for a tablet computer.']	A
009-1	VideoMME	sUDY-SMREtA.mp4	009-1	Which color of clothes is QuYuan wearing in the video?	0	['A. White.', 'B. Blue.', 'C. Brown.', 'D. Yellow.']	A
009-2	VideoMME	sUDY-SMREtA.mp4	009-2	Based on the video, which day does the festival fall on the lunar calendar?	1	['A. January 1th.', 'B. May 5th.', 'C. September 9th.', 'D. May 15th.']	B
009-3	VideoMME	sUDY-SMREtA.mp4	009-3	According to the video, which of the following is the main reason why people commemorate Qu Yuan?	2	['A. Because people love Zongzi.', 'B. Because he committed suicide by drowing himself in Miluo River.', 'C. Because he brought peace and prosperity to the state.', 'D. Because he was exile.']	C
010-1	VideoMME	PSt_op3fQck.mp4	010-1	What can be learned from this video?	2	['A. The history of intercultural conflicts and disputes.', 'B. Quick ways to grasp the fundamentals of intercultural communication. understanding.', 'C. Techniques for mastering a foreign language in a short period of time.', 'D. Strategies for resolving international political conflicts.']	C
010-2	VideoMME	PSt_op3fQck.mp4	010-2	What is the pattern on the clothing of the staff who is behaving informally at the airline counter?	0	['A. A flower.', 'B. A coconut tree.', 'C. A flying bird.', 'D. None of the above.']	A
010-3	VideoMME	PSt_op3fQck.mp4	010-3	At the end of the animation, which place does not the copilot travel to?	1	['A. The White House.', 'B. The Big Ben.', 'C. The Egyptian Pyramids.', 'D. The Eiffel Tower.']	B
011-1	VideoMME	OE5S-NbNsro.mp4	011-1	What is the kind of the dance in the video?	2	['A. Hip hop.', 'B. Jazz.', 'C. Ballet.', 'D. Folk dance.']	C
011-2	VideoMME	OE5S-NbNsro.mp4	011-2	What's the color of the cosmos introduced by the video?	1	['A. White.', 'B. Black.', 'C. Navy blue.', 'D. Dark purple.']	B
011-3	VideoMME	OE5S-NbNsro.mp4	011-3	What are the moves in the last scene of this dance?	0	['A. Kneel down on one knee and lean back.', 'B. Passe and then chasse.', 'C. Releve and then pirouette.', 'D. Passe and then Grand jete.']	A
012-1	VideoMME	qvwfWyU9Gfc.mp4	012-1	Based on the video, which of the following describes the reason why the student ate the banana?	1	['A. Because the banana looks tasty.', 'B. Because he considered the process of eating a banana is art.', "C. Because he didn't think the  banana worth $120,000.", 'D. Because he wanted to followed the man who ate a banana in a exhibition in 2019.']	B
012-2	VideoMME	qvwfWyU9Gfc.mp4	012-2	What did the student do after eating the banana in the video?	2	['A. He ate a banana in exhibition again in 2019.', 'B. He throwed the skin of banana.', 'C. He reattached the skin of banana using the same tape.', 'D. The action of eating a banana was considered art.']	C
012-3	VideoMME	qvwfWyU9Gfc.mp4	012-3	What's the color of the tape in the video?	3	['A. Green.', 'B. Black.', 'C. Yellow.', 'D. Gray.']	D
013-1	VideoMME	5wLv3pCqZ9o.mp4	013-1	Which of the following is visible in the background of the video when the miniature bottle is shown empty?	2	['A. Water.', 'B. Cork.', 'C. Shells.', 'D. Star.']	C
